batsman,out,run,ball,minutes,4s,6s,sr,match_id
Manish Pandey , b Harpreet Brar,0,3,7,0,0,0.00,1359533
Aman Hakim Khan ,c Harpreet Brar b Ellis,16,18,24,1,1,88.88,1359533
Praveen Dubey , b Ellis,16,20,29,2,0,80.00,1359533
Kuldeep Yadav ,not out ,10,17,21,0,0,58.82,1359533
Mukesh Kumar ,not out ,6,7,12,0,0,85.71,1359533
Extras,"(lb 1, w 3)",4,,,,,,1359533
TOTAL,20 Ov (RR: 6.80),136/8,,,,,,1359533
Kyle Mayers ,c Markram b Phillips,2,14,16,0,0,14.28,1359532
Quinton de Kock †,c Abhishek Sharma b Markande,29,19,39,3,1,152.63,1359532
Prerak Mankad ,not out ,64,45,78,7,2,142.22,1359532
Marcus Stoinis ,c Abdul Samad b Abhishek Sharma,40,25,34,2,3,160.00,1359532
Nicholas Pooran ,not out ,44,13,22,3,4,338.46,1359532
Extras,"(lb 1, w 5)",6,,,,,,1359532
TOTAL,19.2 Ov (RR: 9.56),185/3,,,,,,1359532
Wriddhiman Saha †,lbw b Madhwal,2,5,10,0,0,40.00,1359531
Shubman Gill , b Madhwal,6,9,20,0,0,66.66,1359531
Hardik Pandya (c),c †Ishan Kishan b Behrendorff,4,3,5,1,0,133.33,1359531
Vijay Shankar , b Chawla,29,14,22,6,0,207.14,1359531
David Miller ,lbw b Madhwal,41,26,47,4,2,157.69,1359531
Abhinav Manohar , b Kartikeya,2,3,5,0,0,66.66,1359531
Rahul Tewatia ,c Green b Chawla,14,13,29,1,0,107.69,1359531
Rashid Khan ,not out ,79,32,44,3,10,246.87,1359531
Noor Ahmad , b Kartikeya,1,3,5,0,0,33.33,1359531
Alzarri Joseph ,not out ,7,12,37,1,0,58.33,1359531
Extras,"(lb 3, w 3)",6,,,,,,1359531
TOTAL,20 Ov (RR: 9.55),191/8,,,,,,1359531
Yashasvi Jaiswal ,not out ,98,47,62,12,5,208.51,1359530
Jos Buttler ,run out (Russell),0,3,10,0,0,0.00,1359530
Sanju Samson (c)†,not out ,48,29,53,2,5,165.51,1359530
Extras,"(b 1, lb 1, w 3)",5,,,,,,1359530
TOTAL,13.1 Ov (RR: 11.46),151/1,,,,,,1359530
David Warner (c),c Rahane b Chahar,0,2,2,0,0,0.00,1359529
Phil Salt †,c Rayudu b Chahar,17,11,19,1,2,154.54,1359529
Mitchell Marsh ,run out (Rahane),5,4,21,1,0,125.00,1359529
Manish Pandey ,lbw b Pathirana,27,29,42,1,2,93.10,1359529
Rilee Rossouw ,c Pathirana b Jadeja,35,37,44,2,1,94.59,1359529
Ripal Patel ,run out (Ali),10,16,31,0,0,62.50,1359529
Axar Patel ,c Rahane b Pathirana,21,12,20,2,1,175.00,1359529
Aman Hakim Khan ,not out ,2,3,13,0,0,66.66,1359529
Lalit Yadav , b Pathirana,12,5,7,3,0,240.00,1359529
Kuldeep Yadav ,not out ,0,1,1,0,0,0.00,1359529
Extras,"(lb 6, w 5)",11,,,,,,1359529
TOTAL,20 Ov (RR: 7.00),140/8,,,,,,1359529
Ishan Kishan †,c †Anuj Rawat b Hasaranga,42,21,24,4,4,200.00,1359528
Rohit Sharma (c),lbw b Hasaranga,7,8,27,1,0,87.50,1359528
Suryakumar Yadav ,c Jadhav b Vyshak,83,35,60,7,6,237.14,1359528
Nehal Wadhera ,not out ,52,34,61,4,3,152.94,1359528
Tim David ,c Maxwell b Vyshak,0,1,2,0,0,0.00,1359528
Cameron Green ,not out ,2,2,4,0,0,100.00,1359528
Extras,"(lb 6, nb 2, w 6)",14,,,,,,1359528
TOTAL,16.3 Ov (RR: 12.12),200/4,,,,,,1359528
Jason Roy ,c Shahrukh Khan b Harpreet Brar,38,24,40,8,0,158.33,1359527
Rahmanullah Gurbaz †,lbw b Ellis,15,12,25,1,1,125.00,1359527
Nitish Rana (c),c Livingstone b Chahar,51,38,50,6,1,134.21,1359527
Venkatesh Iyer ,c Livingstone b Chahar,11,13,28,0,0,84.61,1359527
Andre Russell ,run out (†Sharma/Arshdeep Singh),42,23,34,3,3,182.60,1359527
Rinku Singh ,not out ,21,10,25,2,1,210.00,1359527
Shardul Thakur ,not out ,0,0,1,0,0,-,1359527
Extras,"(lb 1, w 3)",4,,,,,,1359527
TOTAL,20 Ov (RR: 9.10),182/5,,,,,,1359527
Anmolpreet Singh ,c Hetmyer b Chahal,33,25,26,4,1,132.00,1359526
Abhishek Sharma ,c Chahal b R Ashwin,55,34,57,5,2,161.76,1359526
Rahul Tripathi ,c Jaiswal b Chahal,47,29,57,2,3,162.06,1359526
Heinrich Klaasen †,c Buttler b Chahal,26,12,15,2,2,216.66,1359526
Aiden Markram (c),lbw b Chahal,6,5,13,1,0,120.00,1359526
Glenn Phillips ,c Hetmyer b Yadav,25,7,12,1,3,357.14,1359526
Abdul Samad ,not out ,17,7,17,0,2,242.85,1359526
Marco Jansen ,not out ,3,2,10,0,0,150.00,1359526
Extras,"(nb 1, w 4)",5,,,,,,1359526
TOTAL,20 Ov (RR: 10.85),217/6,,,,,,1359526
Kyle Mayers ,c Rashid Khan b Sharma,48,32,46,7,2,150.00,1359525
Quinton de Kock †, b Rashid Khan,70,41,88,7,3,170.73,1359525
Deepak Hooda ,c Tewatia b Mohammed Shami,11,11,24,0,0,100.00,1359525
Marcus Stoinis ,c Mohammed Shami b Sharma,4,9,15,0,0,44.44,1359525
Nicholas Pooran ,c Mohammed Shami b Noor Ahmad,3,6,15,0,0,50.00,1359525
Ayush Badoni ,c Noor Ahmad b Sharma,21,11,15,1,2,190.90,1359525
Swapnil Singh ,not out ,2,4,14,0,0,50.00,1359525
Krunal Pandya (c),c Miller b Sharma,0,1,2,0,0,0.00,1359525
Ravi Bishnoi ,not out ,4,5,5,1,0,80.00,1359525
Extras,"(lb 3, w 5)",8,,,,,,1359525
TOTAL,20 Ov (RR: 8.55),171/7,,,,,,1359525
David Warner (c),c du Plessis b Hazlewood,22,14,26,3,1,157.14,1359524
Phil Salt †, b Sharma,87,45,76,8,6,193.33,1359524
Mitchell Marsh ,c Lomror b Patel,26,17,22,3,1,152.94,1359524
Rilee Rossouw ,not out ,35,22,34,1,3,159.09,1359524
Axar Patel ,not out ,8,3,5,0,1,266.66,1359524
Extras,"(b 4, lb 2, nb 1, w 2)",9,,,,,,1359524
TOTAL,16.4 Ov (RR: 11.22),187/3,,,,,,1359524
Ruturaj Gaikwad ,c †Ishan Kishan b Chawla,30,16,23,4,2,187.50,1359523
Devon Conway ,lbw b Madhwal,44,42,83,4,0,104.76,1359523
Ajinkya Rahane ,lbw b Chawla,21,17,23,1,1,123.52,1359523
Ambati Rayudu ,c Goyal b Stubbs,12,11,16,0,1,109.09,1359523
Shivam Dube ,not out ,26,18,27,0,3,144.44,1359523
MS Dhoni (c)†,not out ,2,3,7,0,0,66.66,1359523
Extras,"(lb 2, nb 1, w 2)",5,,,,,,1359523
TOTAL,17.4 Ov (RR: 7.92),140/4,,,,,,1359523
Wriddhiman Saha †,not out ,41,34,55,5,0,120.58,1359522
Shubman Gill ,st †Samson b Chahal,36,35,39,6,0,102.85,1359522
Hardik Pandya (c),not out ,39,15,17,3,3,260.00,1359522
Extras,"(lb 2, nb 1)",3,,,,,,1359522
TOTAL,13.5 Ov (RR: 8.60),119/1,,,,,,1359522
Abhishek Sharma ,c Russell b Thakur,9,10,25,1,0,90.00,1359521
Mayank Agarwal ,c †Rahmanullah Gurbaz b Harshit Rana,18,11,17,2,1,163.63,1359521
Rahul Tripathi ,c Arora b Russell,20,9,17,3,1,222.22,1359521
Aiden Markram (c),c Singh b Arora,41,40,64,4,0,102.50,1359521
Harry Brook ,lbw b AS Roy,0,4,6,0,0,0.00,1359521
Heinrich Klaasen †,c Russell b Thakur,36,20,34,1,3,180.00,1359521
Abdul Samad ,c AS Roy b Varun,21,18,34,3,0,116.66,1359521
Marco Jansen ,c †Rahmanullah Gurbaz b Arora,1,4,10,0,0,25.00,1359521
Bhuvneshwar Kumar ,not out ,5,5,16,1,0,100.00,1359521
Mayank Markande ,not out ,1,2,6,0,0,50.00,1359521
Extras,"(b 1, lb 6, nb 3, w 4)",14,,,,,,1359521
TOTAL,20 Ov (RR: 8.30),166/8,,,,,,1359521
Rohit Sharma (c),c Short b R Dhawan,0,3,3,0,0,0.00,1359520
Ishan Kishan †,c R Dhawan b Arshdeep Singh,75,41,80,7,4,182.92,1359520
Cameron Green ,c Chahar b Ellis,23,18,29,4,0,127.77,1359520
Suryakumar Yadav ,c Arshdeep Singh b Ellis,66,31,44,8,2,212.90,1359520
Tim David ,not out ,19,10,21,3,0,190.00,1359520
Tilak Varma ,not out ,26,10,15,1,3,260.00,1359520
Extras,"(b 4, w 3)",7,,,,,,1359520
TOTAL,18.5 Ov (RR: 11.46),216/4,,,,,,1359520
Wriddhiman Saha †,c †Salt b Ahmed,0,6,6,0,0,0.00,1359518
Shubman Gill ,c Pandey b Nortje,6,7,18,1,0,85.71,1359518
Hardik Pandya (c),not out ,59,53,94,7,0,111.32,1359518
Vijay Shankar , b Sharma,6,9,11,1,0,66.66,1359518
David Miller , b Kuldeep Yadav,0,3,9,0,0,0.00,1359518
Abhinav Manohar ,c Aman Hakim Khan b Ahmed,26,33,44,0,1,78.78,1359518
Rahul Tewatia ,c Rossouw b Sharma,20,7,19,0,3,285.71,1359518
Rashid Khan ,not out ,3,2,3,0,0,150.00,1359518
Extras,(w 5),5,,,,,,1359518
TOTAL,20 Ov (RR: 6.25),125/6,,,,,,1359518
Kyle Mayers ,c Anuj Rawat b Mohammed Siraj,0,2,3,0,0,0.00,1359517
Ayush Badoni ,c Kohli b Hazlewood,4,11,23,0,0,36.36,1359517
Krunal Pandya ,c Kohli b Maxwell,14,11,17,3,0,127.27,1359517
Deepak Hooda ,st †Karthik b Hasaranga,1,2,13,0,0,50.00,1359517
Marcus Stoinis ,c Prabhudessai b Sharma,13,19,31,0,1,68.42,1359517
Nicholas Pooran †,c Lomror b Sharma,9,7,9,0,1,128.57,1359517
Krishnappa Gowtham ,run out (sub [R Sonu Yadav]/†Karthik),23,13,20,1,2,176.92,1359517
Ravi Bishnoi ,run out (Patel/†Karthik),5,10,19,0,0,50.00,1359517
Amit Mishra ,c †Karthik b Patel,19,30,42,2,0,63.33,1359517
Naveen-ul-Haq ,c †Karthik b Hazlewood,13,13,20,2,0,100.00,1359517
KL Rahul (c),not out ,0,3,7,0,0,0.00,1359517
Extras,"(b 1, lb 1, nb 2, w 3)",7,,,,,,1359517
TOTAL,19.5 Ov (RR: 5.44),108,,,,,,1359517
Rohit Sharma (c), b Sandeep Sharma,3,5,12,0,0,60.00,1359516
Ishan Kishan †,c Boult b Ashwin,28,23,44,4,0,121.73,1359516
Cameron Green ,c Boult b Ashwin,44,26,47,4,2,169.23,1359516
Suryakumar Yadav ,c Sandeep Sharma b Boult,55,29,49,8,2,189.65,1359516
Tilak Varma ,not out ,29,21,63,3,1,138.09,1359516
Tim David ,not out ,45,14,27,2,5,321.42,1359516
Extras,"(lb 2, nb 1, w 7)",10,,,,,,1359516
TOTAL,19.3 Ov (RR: 10.97),214/4,,,,,,1359516
Prabhsimran Singh ,st †Dhoni b Jadeja,42,24,41,4,2,175.00,1359515
Shikhar Dhawan (c),c Pathirana b Deshpande,28,15,24,4,1,186.66,1359515
Atharva Taide ,c & b Jadeja,13,17,26,0,0,76.47,1359515
Liam Livingstone ,c Gaikwad b Deshpande,40,24,38,1,4,166.66,1359515
Sam Curran , b Pathirana,29,20,36,1,1,145.00,1359515
Jitesh Sharma †,c sub (SK Rasheed) b Deshpande,21,10,21,2,1,210.00,1359515
M Shahrukh Khan ,not out ,2,3,21,0,0,66.66,1359515
Sikandar Raza ,not out ,13,7,9,1,0,185.71,1359515
Extras,"(lb 7, w 6)",13,,,,,,1359515
TOTAL,20 Ov (RR: 10.05),201/6,,,,,,1359515
David Warner (c), b Kumar,0,2,2,0,0,0.00,1359514
Phil Salt †,c & b Markande,59,35,53,9,0,168.57,1359514
Mitchell Marsh ,c Markram b Hosein,63,39,63,1,6,161.53,1359514
Manish Pandey ,st †Klaasen b Abhishek Sharma,1,3,5,0,0,33.33,1359514
Priyam Garg , b Markande,12,9,15,1,0,133.33,1359514
Sarfaraz Khan , b Natarajan,9,10,19,1,0,90.00,1359514
Axar Patel ,not out ,29,14,24,1,2,207.14,1359514
Ripal Patel ,not out ,11,8,16,1,0,137.50,1359514
Extras,"(lb 1, w 3)",4,,,,,,1359514
TOTAL,20 Ov (RR: 9.40),188/6,,,,,,1359514
Wriddhiman Saha †,c Harshit Rana b Russell,10,10,21,1,0,100.00,1359513
Shubman Gill ,c Russell b Narine,49,35,53,8,0,140.00,1359513
Hardik Pandya (c),lbw b Harshit Rana,26,20,28,2,1,130.00,1359513
Vijay Shankar ,not out ,51,24,37,2,5,212.50,1359513
David Miller ,not out ,32,18,32,2,2,177.77,1359513
Extras,"(lb 9, w 3)",12,,,,,,1359513
TOTAL,17.5 Ov (RR: 10.09),180/3,,,,,,1359513
Prabhsimran Singh ,c sub (DR Sams) b Naveen-ul-Haq,9,13,24,2,0,69.23,1359512
Shikhar Dhawan (c),c Pandya b Stoinis,1,2,5,0,0,50.00,1359512
Atharva Taide ,c & b Ravi Bishnoi,66,36,67,8,2,183.33,1359512
Sikandar Raza ,c Pandya b Yash Thakur,36,22,41,4,1,163.63,1359512
Liam Livingstone ,lbw b Ravi Bishnoi,23,14,19,2,1,164.28,1359512
Sam Curran ,c Badoni b Naveen-ul-Haq,21,11,24,2,1,190.90,1359512
Jitesh Sharma †,c Rahul b Yash Thakur,24,10,17,0,3,240.00,1359512
M Shahrukh Khan ,c Ravi Bishnoi b Yash Thakur,6,9,18,0,0,66.66,1359512
Rahul Chahar ,c Hooda b Yash Thakur,0,1,3,0,0,0.00,1359512
Kagiso Rabada , b Naveen-ul-Haq,0,1,5,0,0,0.00,1359512
Arshdeep Singh ,not out ,2,2,6,0,0,100.00,1359512
Extras,"(lb 4, nb 2, w 7)",13,,,,,,1359512
TOTAL,19.5 Ov (RR: 10.13),201,,,,,,1359512
Ruturaj Gaikwad ,c Padikkal b Zampa,47,29,45,5,1,162.06,1359511
Devon Conway ,c Sandeep Sharma b Zampa,8,16,28,1,0,50.00,1359511
Ajinkya Rahane ,c Buttler b Ashwin,15,13,23,0,0,115.38,1359511
Shivam Dube ,c Buttler b Yadav,52,33,52,2,4,157.57,1359511
Ambati Rayudu ,c Holder b Ashwin,0,2,4,0,0,0.00,1359511
Moeen Ali ,c †Samson b Zampa,23,12,21,2,2,191.66,1359511
Ravindra Jadeja ,not out ,23,15,27,3,0,153.33,1359511
Extras,"(lb 1, w 1)",2,,,,,,1359511
TOTAL,20 Ov (RR: 8.50),170/6,,,,,,1359511
Virat Kohli (c),c Iyer b Russell,54,37,59,6,0,145.94,1359510
Faf du Plessis ,c Singh b Suyash Sharma,17,7,12,1,2,242.85,1359510
Shahbaz Ahmed ,lbw b Suyash Sharma,2,5,11,0,0,40.00,1359510
Glenn Maxwell ,c Wiese b Varun,5,4,6,1,0,125.00,1359510
Mahipal Lomror ,c Russell b Varun,34,18,26,1,3,188.88,1359510
Dinesh Karthik †,c Singh b Varun,22,18,33,1,1,122.22,1359510
Suyash Prabhudessai ,run out (sub [AS Roy]/Suyash Sharma),10,9,15,1,0,111.11,1359510
Wanindu Hasaranga ,c sub (AS Roy) b Russell,5,4,11,0,0,125.00,1359510
David Willey ,not out ,11,10,16,1,0,110.00,1359510
Vijaykumar Vyshak ,not out ,13,8,12,0,1,162.50,1359510
Extras,"(lb 3, w 3)",6,,,,,,1359510
TOTAL,20 Ov (RR: 8.95),179/8,,,,,,1359510
Rohit Sharma (c),c & b Pandya,2,8,10,0,0,25.00,1359509
Ishan Kishan †,c Little b Rashid Khan,13,21,35,1,0,61.90,1359509
Cameron Green , b Noor Ahmad,33,26,43,0,3,126.92,1359509
Tilak Varma ,lbw b Rashid Khan,2,3,6,0,0,66.66,1359509
Suryakumar Yadav ,c & b Noor Ahmad,23,12,27,3,1,191.66,1359509
Tim David ,c Manohar b Noor Ahmad,0,2,3,0,0,0.00,1359509
Nehal Wadhera ,c Mohammed Shami b Sharma,40,21,38,3,3,190.47,1359509
Piyush Chawla ,run out (†Saha/Sharma),18,12,22,1,1,150.00,1359509
Arjun Tendulkar ,c Little b Sharma,13,9,13,0,1,144.44,1359509
Jason Behrendorff ,not out ,3,4,12,0,0,75.00,1359509
Riley Meredith ,not out ,0,2,2,0,0,0.00,1359509
Extras,"(b 4, w 1)",5,,,,,,1359509
TOTAL,20 Ov (RR: 7.60),152/9,,,,,,1359509
Harry Brook , b Nortje,7,14,26,0,0,50.00,1359508
Mayank Agarwal ,c Aman Hakim Khan b AR Patel,49,39,56,7,0,125.64,1359508
Rahul Tripathi ,c †Salt b Sharma,15,21,37,0,0,71.42,1359508
Abhishek Sharma ,c & b Kuldeep Yadav,5,5,13,0,0,100.00,1359508
Aiden Markram (c), b AR Patel,3,5,11,0,0,60.00,1359508
Heinrich Klaasen †,c Aman Hakim Khan b Nortje,31,19,25,3,1,163.15,1359508
Washington Sundar ,not out ,24,15,30,3,0,160.00,1359508
Marco Jansen ,not out ,2,3,11,0,0,66.66,1359508
Extras,(nb 1),1,,,,,,1359508
TOTAL,20 Ov (RR: 6.85),137/6,,,,,,1359508
Narayan Jagadeesan †,c Jadeja b Deshpande,1,3,9,0,0,33.33,1359507
Sunil Narine , b Akash Singh,0,3,4,0,0,0.00,1359507
Venkatesh Iyer ,lbw b Ali,20,20,35,2,1,100.00,1359507
Nitish Rana (c),c Gaikwad b Jadeja,27,20,38,4,1,135.00,1359507
Jason Roy , b Theekshana,61,26,35,5,5,234.61,1359507
Rinku Singh ,not out ,53,33,62,3,4,160.60,1359507
Andre Russell ,c Dube b Pathirana,9,6,14,0,1,150.00,1359507
David Wiese ,lbw b Deshpande,1,2,6,0,0,50.00,1359507
Umesh Yadav ,c Conway b Theekshana,4,4,8,0,0,100.00,1359507
Varun Chakravarthy ,not out ,0,3,9,0,0,0.00,1359507
Extras,"(lb 1, w 9)",10,,,,,,1359507
TOTAL,20 Ov (RR: 9.30),186/8,,,,,,1359507
Yashasvi Jaiswal ,c Kohli b Patel,47,37,63,5,2,127.02,1359506
Jos Buttler , b Mohammed Siraj,0,2,4,0,0,0.00,1359506
Devdutt Padikkal ,c Kohli b Willey,52,34,48,7,1,152.94,1359506
Sanju Samson (c)†,c Shahbaz Ahmed b Patel,22,15,22,2,1,146.66,1359506
Shimron Hetmyer ,run out (Prabhudessai),3,9,30,0,0,33.33,1359506
Dhruv Jurel ,not out ,34,16,35,2,2,212.50,1359506
Ravichandran Ashwin ,c Prabhudessai b Patel,12,6,14,2,0,200.00,1359506
Abdul Basith ,not out ,1,1,2,0,0,100.00,1359506
Extras,"(b 1, lb 3, w 7)",11,,,,,,1359506
TOTAL,20 Ov (RR: 9.10),182/6,,,,,,1359506
Rohit Sharma (c),c & b Livingstone,44,27,42,4,3,162.96,1359505
Ishan Kishan †,c Short b Arshdeep Singh,1,4,7,0,0,25.00,1359505
Cameron Green ,c Curran b Ellis,67,43,64,6,3,155.81,1359505
Suryakumar Yadav ,c Taide b Arshdeep Singh,57,26,42,7,3,219.23,1359505
Tim David ,not out ,25,13,34,0,2,192.30,1359505
Tilak Varma , b Arshdeep Singh,3,4,14,0,0,75.00,1359505
Nehal Wadhera , b Arshdeep Singh,0,1,2,0,0,0.00,1359505
Jofra Archer ,not out ,1,2,4,0,0,50.00,1359505
Extras,(w 3),3,,,,,,1359505
TOTAL,20 Ov (RR: 10.05),201/6,,,,,,1359505
KL Rahul (c),c Yadav b Sharma,68,61,94,8,0,111.47,1359504
Kyle Mayers , b Rashid Khan,24,19,31,2,1,126.31,1359504
Krunal Pandya ,st †Saha b Noor Ahmad,23,23,36,2,1,100.00,1359504
Nicholas Pooran †,c Pandya b Noor Ahmad,1,7,10,0,0,14.28,1359504
Ayush Badoni ,run out (Shankar/Sharma),8,6,22,0,0,133.33,1359504
Marcus Stoinis ,c Miller b Sharma,0,1,2,0,0,0.00,1359504
Deepak Hooda ,run out (Rashid Khan/†Saha),2,2,4,0,0,100.00,1359504
Prerak Mankad ,not out ,0,0,4,0,0,-,1359504
Ravi Bishnoi ,not out ,0,1,1,0,0,0.00,1359504
Extras,"(lb 1, w 1)",2,,,,,,1359504
TOTAL,20 Ov (RR: 6.40),128/7,,,,,,1359504
Ruturaj Gaikwad ,run out (Umran Malik),35,30,50,2,0,116.66,1359503
Devon Conway ,not out ,77,57,84,12,1,135.08,1359503
Ajinkya Rahane ,c Markram b Markande,9,10,15,0,0,90.00,1359503
Ambati Rayudu , b Markande,9,9,11,1,0,100.00,1359503
Moeen Ali ,not out ,6,6,9,1,0,100.00,1359503
Extras,(lb 2),2,,,,,,1359503
TOTAL,18.4 Ov (RR: 7.39),138/3,,,,,,1359503
David Warner (c),lbw b Varun,57,41,58,11,0,139.02,1359502
Prithvi Shaw , b Varun,13,11,22,2,0,118.18,1359502
Mitchell Marsh ,c sub (D Wiese) b Rana,2,9,14,0,0,22.22,1359502
Phil Salt †,c & b AS Roy,5,3,6,1,0,166.66,1359502
Manish Pandey ,c Singh b AS Roy,21,23,34,2,0,91.30,1359502
Axar Patel ,not out ,19,22,37,1,0,86.36,1359502
Aman Hakim Khan , b Rana,0,2,4,0,0,0.00,1359502
Lalit Yadav ,not out ,4,7,21,0,0,57.14,1359502
Extras,"(lb 2, nb 2, w 3)",7,,,,,,1359502
TOTAL,19.2 Ov (RR: 6.62),128/6,,,,,,1359502
Atharva Taide ,lbw b Mohammed Siraj,4,2,5,1,0,200.00,1359501
Prabhsimran Singh , b Parnell,46,30,59,3,4,153.33,1359501
Matthew Short , b Hasaranga,8,7,9,0,1,114.28,1359501
Liam Livingstone ,lbw b Mohammed Siraj,2,4,7,0,0,50.00,1359501
Harpreet Singh ,run out (Mohammed Siraj),13,9,12,1,1,144.44,1359501
Sam Curran (c),run out (Hasaranga),10,12,18,1,0,83.33,1359501
Jitesh Sharma †,c Shahbaz Ahmed b Patel,41,27,48,2,3,151.85,1359501
M Shahrukh Khan ,st †Karthik b Hasaranga,7,5,9,0,1,140.00,1359501
Harpreet Brar , b Mohammed Siraj,13,13,22,1,0,100.00,1359501
Nathan Ellis , b Mohammed Siraj,1,2,5,0,0,50.00,1359501
Arshdeep Singh ,not out ,0,0,3,0,0,-,1359501
Extras,"(b 1, lb 1, nb 1, w 2)",5,,,,,,1359501
TOTAL,18.2 Ov (RR: 8.18),150,,,,,,1359501
Yashasvi Jaiswal ,c Avesh Khan b Stoinis,44,35,60,4,2,125.71,1359500
Jos Buttler ,c Ravi Bishnoi b Stoinis,40,41,73,4,1,97.56,1359500
Sanju Samson (c)†,run out (Mishra/†Pooran),2,4,8,0,0,50.00,1359500
Devdutt Padikkal ,c †Pooran b Avesh Khan,26,21,36,4,0,123.80,1359500
Shimron Hetmyer ,c Rahul b Avesh Khan,2,5,12,0,0,40.00,1359500
Riyan Parag ,not out ,15,12,24,1,1,125.00,1359500
Dhruv Jurel ,c Hooda b Avesh Khan,0,1,2,0,0,0.00,1359500
Ravichandran Ashwin ,not out ,3,2,3,0,0,150.00,1359500
Extras,"(b 1, lb 4, nb 1, w 6)",12,,,,,,1359500
TOTAL,20 Ov (RR: 7.20),144/6,,,,,,1359500
Harry Brook ,c Yadav b Behrendorff,9,7,8,2,0,128.57,1359499
Mayank Agarwal ,c David b Meredith,48,41,76,4,1,117.07,1359499
Rahul Tripathi ,c †Ishan Kishan b Behrendorff,7,5,13,1,0,140.00,1359499
Aiden Markram (c),c Shokeen b Green,22,17,26,1,1,129.41,1359499
Abhishek Sharma ,c David b Chawla,1,2,5,0,0,50.00,1359499
Heinrich Klaasen †,c David b Chawla,36,16,24,4,2,225.00,1359499
Abdul Samad ,run out (Shokeen/†Ishan Kishan),9,12,34,1,0,75.00,1359499
Marco Jansen ,c David b Meredith,13,6,11,3,0,216.66,1359499
Washington Sundar ,run out (David),10,6,8,2,0,166.66,1359499
Bhuvneshwar Kumar ,c Sharma b Tendulkar,2,5,16,0,0,40.00,1359499
Mayank Markande ,not out ,2,2,4,0,0,100.00,1359499
Extras,"(b 1, lb 5, w 13)",19,,,,,,1359499
TOTAL,19.5 Ov (RR: 8.97),178,,,,,,1359499
Virat Kohli , b Akash Singh,6,4,3,1,0,150.00,1359498
Faf du Plessis (c),c †Dhoni b Ali,62,33,64,5,4,187.87,1359498
Mahipal Lomror ,c Gaikwad b Deshpande,0,5,7,0,0,0.00,1359498
Glenn Maxwell ,c †Dhoni b Theekshana,76,36,46,3,8,211.11,1359498
Shahbaz Ahmed ,c Gaikwad b Pathirana,12,10,29,0,1,120.00,1359498
Dinesh Karthik †,c Theekshana b Deshpande,28,14,15,3,1,200.00,1359498
Suyash Prabhudessai ,c Jadeja b Pathirana,19,11,20,0,2,172.72,1359498
Wayne Parnell ,c Dube b Deshpande,2,5,7,0,0,40.00,1359498
Wanindu Hasaranga ,not out ,2,2,10,0,0,100.00,1359498
Extras,"(lb 5, w 6)",11,,,,,,1359498
TOTAL,20 Ov (RR: 10.90),218/8,,,,,,1359498
Yashasvi Jaiswal ,c Shubman Gill b Pandya,1,7,9,0,0,14.28,1359497
Jos Buttler , b Mohammed Shami,0,5,14,0,0,0.00,1359497
Devdutt Padikkal ,c Sharma b Rashid Khan,26,25,38,2,2,104.00,1359497
Sanju Samson (c)†,c Miller b Noor Ahmad,60,32,61,3,6,187.50,1359497
Riyan Parag ,c Miller b Rashid Khan,5,7,10,0,0,71.42,1359497
Shimron Hetmyer ,not out ,56,26,44,2,5,215.38,1359497
Dhruv Jurel ,c Sharma b Mohammed Shami,18,10,19,2,1,180.00,1359497
Ravichandran Ashwin ,c Tewatia b Mohammed Shami,10,3,4,1,1,333.33,1359497
Trent Boult ,not out ,0,1,3,0,0,0.00,1359497
Extras,"(lb 1, w 2)",3,,,,,,1359497
TOTAL,19.2 Ov (RR: 9.25),179/7,,,,,,1359497
Rohit Sharma ,c Yadav b Suyash Sharma,20,13,25,1,2,153.84,1359496
Ishan Kishan †, b Varun,58,25,39,5,5,232.00,1359496
Suryakumar Yadav (c),c †Rahmanullah Gurbaz b Thakur,43,25,63,4,3,172.00,1359496
Tilak Varma , b Suyash Sharma,30,25,32,3,1,120.00,1359496
Tim David ,not out ,24,13,27,1,2,184.61,1359496
Nehal Wadhera ,c †Rahmanullah Gurbaz b Ferguson,6,4,7,1,0,150.00,1359496
Cameron Green ,not out ,1,1,3,0,0,100.00,1359496
Extras,(w 4),4,,,,,,1359496
TOTAL,17.4 Ov (RR: 10.52),186/5,,,,,,1359496
Atharva Taide ,c Avesh Khan b Yudhvir Singh,0,3,3,0,0,0.00,1359495
Prabhsimran Singh , b Yudhvir Singh,4,4,12,1,0,100.00,1359495
Matthew Short ,c Stoinis b Gowtham,34,22,30,5,1,154.54,1359495
Harpreet Singh ,c sub (PN Mankad) b Pandya,22,22,41,3,0,100.00,1359495
Sikandar Raza ,c Stoinis b Ravi Bishnoi,57,41,62,4,3,139.02,1359495
Sam Curran (c),c Pandya b Ravi Bishnoi,6,6,15,1,0,100.00,1359495
Jitesh Sharma †,c Rahul b Wood,2,4,10,0,0,50.00,1359495
M Shahrukh Khan ,not out ,23,10,26,1,2,230.00,1359495
Harpreet Brar ,c †Pooran b Wood,6,4,10,1,0,150.00,1359495
Kagiso Rabada ,not out ,0,1,4,0,0,0.00,1359495
Extras,"(lb 2, w 5)",7,,,,,,1359495
TOTAL,19.3 Ov (RR: 8.25),161/8,,,,,,1359495
David Warner (c),c Kohli b Vyshak,19,13,33,4,0,146.15,1359494
Prithvi Shaw ,run out (Anuj Rawat),0,2,4,0,0,0.00,1359494
