batsman,out,run,ball,minutes,4s,6s,sr,match_id,batting_position,dismissed
Shivam Dube,c Warner b Marsh,25,12.0,24,0.0,3.0,208.33,1359529,5,1
Ambati Rayudu,c RV Patel b Ahmed,23,17.0,28,1.0,1.0,135.29,1359529,6,1
Ravindra Jadeja,c AR Patel b Marsh,21,16.0,30,1.0,1.0,131.25,1359529,7,1
MS Dhoni,c Warner b Marsh,20,9.0,22,1.0,2.0,222.22,1359529,8,1
Deepak Chahar,not out ,1,2.0,6,0.0,0.0,50.00,1359529,9,0
Tushar Deshpande,not out ,0,1.0,2,0.0,0.0,0.00,1359529,10,0
Virat Kohli,c Ishan Kishan b Behrendorff,1,4.0,7,0.0,0.0,25.00,1359528,1,1
Faf du Plessis,c sub (Vishnu Vinod) b Green,65,41.0,78,5.0,3.0,158.53,1359528,2,1
Anuj Rawat,c Green b Behrendorff,6,4.0,8,1.0,0.0,150.00,1359528,3,1
Glenn Maxwell,c Wadhera b Behrendorff,68,33.0,53,8.0,4.0,206.06,1359528,4,1
Mahipal Lomror, b Kartikeya,1,3.0,6,0.0,0.0,33.33,1359528,5,1
Dinesh Karthik,c Wadhera b Jordan,30,18.0,31,4.0,1.0,166.66,1359528,6,1
Kedar Jadhav,not out ,12,10.0,33,1.0,0.0,120.00,1359528,7,0
Wanindu Hasaranga,not out ,12,8.0,11,2.0,0.0,150.00,1359528,8,0
Prabhsimran Singh,c Rahmanullah Gurbaz b Harshit Rana,12,8.0,11,3.0,0.0,150.00,1359527,1,1
Shikhar Dhawan,c Arora b Rana,57,47.0,80,9.0,1.0,121.27,1359527,2,1
Bhanuka Rajapaksa,c Rahmanullah Gurbaz b Harshit Rana,0,3.0,11,0.0,0.0,0.00,1359527,3,1
Liam Livingstone,lbw b Varun,15,9.0,16,3.0,0.0,166.66,1359527,4,1
Jitesh Sharma,c Rahmanullah Gurbaz b Varun,21,18.0,34,0.0,2.0,116.66,1359527,5,1
Sam Curran,c Rahmanullah Gurbaz b Suyash Sharma,4,9.0,25,0.0,0.0,44.44,1359527,6,1
Rishi Dhawan, b Varun,19,11.0,12,1.0,1.0,172.72,1359527,7,1
M Shahrukh Khan,not out ,21,8.0,20,3.0,1.0,262.50,1359527,8,0
Harpreet Brar,not out ,17,9.0,17,2.0,1.0,188.88,1359527,9,0
Yashasvi Jaiswal,c Natarajan b Jansen,35,18.0,27,5.0,2.0,194.44,1359526,1,1
Jos Buttler,lbw b Kumar,95,59.0,84,10.0,4.0,161.01,1359526,2,1
Sanju Samson,not out ,66,38.0,66,4.0,5.0,173.68,1359526,3,0
Shimron Hetmyer,not out ,7,5.0,8,0.0,0.0,140.00,1359526,4,0
Wriddhiman Saha,c sub (PN Mankad) b Avesh Khan,81,43.0,59,10.0,4.0,188.37,1359525,1,1
Shubman Gill,not out ,94,51.0,96,2.0,7.0,184.31,1359525,2,0
Hardik Pandya,c Pandya b Mohsin Khan,25,15.0,20,1.0,2.0,166.66,1359525,3,1
David Miller,not out ,21,12.0,19,2.0,1.0,175.00,1359525,4,0
Virat Kohli,c Ahmed b Mukesh Kumar,55,46.0,74,5.0,0.0,119.56,1359524,1,1
Faf du Plessis,c AR Patel b Marsh,45,32.0,46,5.0,1.0,140.62,1359524,2,1
Glenn Maxwell,c Salt b Marsh,0,1.0,2,0.0,0.0,0.00,1359524,3,1
Mahipal Lomror,not out ,54,29.0,53,6.0,3.0,186.20,1359524,4,0
Dinesh Karthik,c Warner b Ahmed,11,9.0,22,0.0,1.0,122.22,1359524,5,1
Anuj Rawat,not out ,8,3.0,5,0.0,1.0,266.66,1359524,6,0
Cameron Green, b Deshpande,6,4.0,10,1.0,0.0,150.00,1359523,1,1
Ishan Kishan,c Theekshana b Chahar,7,9.0,15,1.0,0.0,77.77,1359523,2,1
Rohit Sharma,c Jadeja b Chahar,0,3.0,9,0.0,0.0,0.00,1359523,3,1
Nehal Wadhera, b Pathirana,64,51.0,68,8.0,1.0,125.49,1359523,4,1
Suryakumar Yadav, b Jadeja,26,22.0,35,3.0,0.0,118.18,1359523,5,1
Tristan Stubbs,c Jadeja b Pathirana,20,21.0,44,2.0,0.0,95.23,1359523,6,1
Tim David,c Gaikwad b Deshpande,2,4.0,7,0.0,0.0,50.00,1359523,7,1
Arshad Khan,c Gaikwad b Pathirana,1,2.0,6,0.0,0.0,50.00,1359523,8,1
Jofra Archer,not out ,3,2.0,5,0.0,0.0,150.00,1359523,9,0
Piyush Chawla,not out ,2,2.0,2,0.0,0.0,100.00,1359523,10,0
Yashasvi Jaiswal,run out (Sharma/Rashid Khan),14,11.0,31,1.0,1.0,127.27,1359522,1,1
Jos Buttler,c Sharma b Pandya,8,6.0,10,2.0,0.0,133.33,1359522,2,1
Sanju Samson,c Pandya b Little,30,20.0,27,3.0,1.0,150.00,1359522,3,1
Devdutt Padikkal, b Noor Ahmad,12,12.0,30,1.0,0.0,100.00,1359522,4,1
Ravichandran Ashwin, b Rashid Khan,2,6.0,6,0.0,0.0,33.33,1359522,5,1
Riyan Parag,lbw b Rashid Khan,4,6.0,8,0.0,0.0,66.66,1359522,6,1
Shimron Hetmyer,lbw b Rashid Khan,7,13.0,29,0.0,0.0,53.84,1359522,7,1
Dhruv Jurel,lbw b Noor Ahmad,9,8.0,13,1.0,0.0,112.50,1359522,8,1
Trent Boult, b Mohammed Shami,15,11.0,15,1.0,1.0,136.36,1359522,9,1
Adam Zampa,run out (Manohar),7,9.0,19,0.0,0.0,77.77,1359522,10,1
Sandeep Sharma,not out ,2,5.0,8,0.0,0.0,40.00,1359522,11,0
Jason Roy,c Agarwal b Kartik Tyagi,20,19.0,27,4.0,0.0,105.26,1359521,1,1
Rahmanullah Gurbaz,c Brook b Jansen,0,1.0,7,0.0,0.0,0.00,1359521,2,1
Venkatesh Iyer,c Klaasen b Jansen,7,4.0,6,1.0,0.0,175.00,1359521,3,1
Nitish Rana,c & b Markram,42,31.0,46,3.0,3.0,135.48,1359521,4,1
Rinku Singh,c Abdul Samad b Natarajan,46,35.0,67,4.0,1.0,131.42,1359521,5,1
Andre Russell,c Natarajan b Markande,24,15.0,13,1.0,2.0,160.00,1359521,6,1
Sunil Narine,c Agarwal b Kumar,1,2.0,6,0.0,0.0,50.00,1359521,7,1
Shardul Thakur,c Abdul Samad b Natarajan,8,6.0,9,1.0,0.0,133.33,1359521,8,1
Anukul Roy,not out ,13,7.0,11,2.0,0.0,185.71,1359521,9,0
Harshit Rana,run out (Klaasen/Natarajan),0,1.0,2,0.0,0.0,0.00,1359521,10,1
Vaibhav Arora,not out ,2,1.0,2,0.0,0.0,200.00,1359521,11,0
Prabhsimran Singh,c Ishan Kishan b Arshad Khan,9,7.0,8,1.0,0.0,128.57,1359520,1,1
Shikhar Dhawan,st Ishan Kishan b Chawla,30,20.0,35,5.0,0.0,150.00,1359520,2,1
Matthew Short, b Chawla,27,26.0,46,2.0,1.0,103.84,1359520,3,1
Liam Livingstone,not out ,82,42.0,65,7.0,4.0,195.23,1359520,4,0
Jitesh Sharma,not out ,49,27.0,46,5.0,2.0,181.48,1359520,5,0
Phil Salt,c Miller b Mohammed Shami,0,1.0,2,0.0,0.0,0.00,1359518,1,1
