batsman,out,run,ball,minutes,4s,6s,sr,match_id,batting_position,dismissed
Devon Conway,c Sharma b Noor Ahmad,47,25.0,34,4.0,2.0,188.00,1370353,2,1
Shivam Dube,not out ,32,21.0,49,0.0,2.0,152.38,1370353,3,0
Ajinkya Rahane,c Shankar b Sharma,27,13.0,20,2.0,2.0,207.69,1370353,4,1
Ambati Rayudu,c & b Sharma,19,8.0,8,1.0,2.0,237.50,1370353,5,1
MS Dhoni,c Miller b Sharma,0,1.0,1,0.0,0.0,0.00,1370353,6,1
Ravindra Jadeja,not out ,15,6.0,14,1.0,1.0,250.00,1370353,7,0
Rohit Sharma,c Little b Mohammed Shami,8,7.0,17,1.0,0.0,114.28,1370352,1,1
Nehal Wadhera,c Saha b Mohammed Shami,4,3.0,3,1.0,0.0,133.33,1370352,2,1
Cameron Green, b Little,30,20.0,54,2.0,2.0,150.00,1370352,3,1
Suryakumar Yadav, b Sharma,61,38.0,61,7.0,2.0,160.52,1370352,4,1
Tilak Varma, b Rashid Khan,43,14.0,17,5.0,3.0,307.14,1370352,5,1
Vishnu Vinod,c Pandya b Sharma,5,7.0,19,0.0,0.0,71.42,1370352,6,1
Tim David,lbw b Rashid Khan,2,3.0,6,0.0,0.0,66.66,1370352,7,1
Chris Jordan,c Sai Sudharsan b Sharma,2,5.0,7,0.0,0.0,40.00,1370352,8,1
Piyush Chawla,c Miller b Sharma,0,2.0,5,0.0,0.0,0.00,1370352,9,1
Kumar Kartikeya,c Miller b Sharma,6,7.0,10,1.0,0.0,85.71,1370352,10,1
Jason Behrendorff,not out ,3,5.0,8,0.0,0.0,60.00,1370352,11,0
Kyle Mayers,c Green b Jordan,18,13.0,18,3.0,0.0,138.46,1370351,1,1
Prerak Mankad,c Shokeen b Madhwal,3,6.0,9,0.0,0.0,50.00,1370351,2,1
Krunal Pandya,c David b Chawla,8,11.0,35,1.0,0.0,72.72,1370351,3,1
Marcus Stoinis,run out (David/Ishan Kishan),40,27.0,45,5.0,1.0,148.14,1370351,4,1
Ayush Badoni, b Madhwal,1,7.0,6,0.0,0.0,14.28,1370351,5,1
Nicholas Pooran,c Ishan Kishan b Madhwal,0,1.0,1,0.0,0.0,0.00,1370351,6,1
Deepak Hooda,run out (Green/Madhwal/Sharma),15,13.0,26,0.0,1.0,115.38,1370351,7,1
Krishnappa Gowtham,run out (Sharma),2,3.0,3,0.0,0.0,66.66,1370351,8,1
Ravi Bishnoi,c Jordan b Madhwal,3,6.0,8,0.0,0.0,50.00,1370351,9,1
Naveen-ul-Haq,not out ,1,5.0,10,0.0,0.0,20.00,1370351,10,0
Mohsin Khan, b Madhwal,0,7.0,8,0.0,0.0,0.00,1370351,11,1
Wriddhiman Saha,c Pathirana b Chahar,12,11.0,14,2.0,0.0,109.09,1370350,1,1
Shubman Gill,c Conway b Chahar,42,38.0,58,4.0,1.0,110.52,1370350,2,1
Hardik Pandya,c Jadeja b Theekshana,8,7.0,12,1.0,0.0,114.28,1370350,3,1
Dasun Shanaka,c Theekshana b Jadeja,17,16.0,12,1.0,1.0,106.25,1370350,4,1
David Miller, b Jadeja,4,6.0,11,0.0,0.0,66.66,1370350,5,1
Vijay Shankar,c Gaikwad b Pathirana,14,10.0,30,0.0,1.0,140.00,1370350,6,1
Rahul Tewatia, b Theekshana,3,5.0,8,0.0,0.0,60.00,1370350,7,1
Rashid Khan,c Conway b Deshpande,30,16.0,26,3.0,2.0,187.50,1370350,8,1
Darshan Nalkande,run out (sub [SP Senapati]),0,1.0,1,0.0,0.0,0.00,1370350,9,1
Noor Ahmad,not out ,7,5.0,14,1.0,0.0,140.00,1370350,10,0
Mohammed Shami,c Chahar b Pathirana,5,5.0,8,1.0,0.0,100.00,1370350,11,1
Wriddhiman Saha,c Parnell b Mohammed Siraj,12,14.0,15,2.0,0.0,85.71,1359544,1,1
Shubman Gill,not out ,104,52.0,97,5.0,8.0,200.00,1359544,2,0
Vijay Shankar,c Kohli b Vyshak,53,35.0,53,7.0,2.0,151.42,1359544,3,1
Dasun Shanaka,c sub (SS Prabhudessai) b Patel,0,3.0,5,0.0,0.0,0.00,1359544,4,1
David Miller,c sub (SS Prabhudessai) b Mohammed Siraj,6,7.0,12,1.0,0.0,85.71,1359544,5,1
Rahul Tewatia,not out ,4,5.0,12,0.0,0.0,80.00,1359544,6,0
Ishan Kishan,c Brook b Kumar,14,12.0,14,1.0,1.0,116.66,1359543,1,1
Rohit Sharma,c Nitish Kumar Reddy b Dagar,56,37.0,72,8.0,1.0,151.35,1359543,2,1
Cameron Green,not out ,100,47.0,85,8.0,8.0,212.76,1359543,3,0
Suryakumar Yadav,not out ,25,16.0,27,4.0,0.0,156.25,1359543,4,0
Jason Roy, b Pandya,45,28.0,44,7.0,1.0,160.71,1359542,1,1
Venkatesh Iyer,c Ravi Bishnoi b Gowtham,24,15.0,25,3.0,1.0,160.00,1359542,2,1
Nitish Rana,c Pandya b Ravi Bishnoi,8,10.0,13,1.0,0.0,80.00,1359542,3,1
Rahmanullah Gurbaz,c Ravi Bishnoi b Yash Thakur,10,15.0,25,0.0,0.0,66.66,1359542,4,1
Rinku Singh,not out ,67,33.0,62,6.0,4.0,203.03,1359542,5,0
Andre Russell, b Ravi Bishnoi,7,9.0,13,0.0,1.0,77.77,1359542,6,1
Shardul Thakur,c Mankad b Yash Thakur,3,7.0,14,0.0,0.0,42.85,1359542,7,1
Sunil Narine,run out (Naveen-ul-Haq/de Kock),1,2.0,4,0.0,0.0,50.00,1359542,8,1
Vaibhav Arora,not out ,1,1.0,15,0.0,0.0,100.00,1359542,9,0
Prithvi Shaw,c Rayudu b Deshpande,5,7.0,8,1.0,0.0,71.42,1359541,1,1
David Warner,c Gaikwad b Pathirana,86,58.0,92,7.0,5.0,148.27,1359541,2,1
Phil Salt,c Rahane b Chahar,3,6.0,17,0.0,0.0,50.00,1359541,3,1
Rilee Rossouw, b Chahar,0,1.0,2,0.0,0.0,0.00,1359541,4,1
Yash Dhull,c Deshpande b Jadeja,13,15.0,25,1.0,0.0,86.66,1359541,5,1
Axar Patel,c Gaikwad b Chahar,15,8.0,15,1.0,1.0,187.50,1359541,6,1
Aman Hakim Khan,c Ali b Pathirana,7,9.0,17,1.0,0.0,77.77,1359541,7,1
Lalit Yadav,c Ali b Theekshana,6,12.0,16,0.0,0.0,50.00,1359541,8,1
Anrich Nortje,not out ,0,1.0,10,0.0,0.0,0.00,1359541,9,0
Kuldeep Yadav,lbw b Theekshana,0,1.0,2,0.0,0.0,0.00,1359541,10,1
Chetan Sakariya,not out ,0,2.0,3,0.0,0.0,0.00,1359541,11,0
Yashasvi Jaiswal,c sub (R Dhawan) b Ellis,50,36.0,72,8.0,0.0,138.88,1359540,1,1
Jos Buttler,lbw b Rabada,0,4.0,7,0.0,0.0,0.00,1359540,2,1
Devdutt Padikkal,c Harpreet Brar b Arshdeep Singh,51,30.0,38,5.0,3.0,170.00,1359540,3,1
Sanju Samson,c sub (R Dhawan) b Chahar,2,3.0,6,0.0,0.0,66.66,1359540,4,1
Shimron Hetmyer,c Dhawan b Curran,46,28.0,50,4.0,3.0,164.28,1359540,5,1
Riyan Parag,c Taide b Rabada,20,12.0,21,1.0,2.0,166.66,1359540,6,1
Dhruv Jurel,not out ,10,4.0,11,0.0,1.0,250.00,1359540,7,0
Trent Boult,not out ,1,2.0,6,0.0,0.0,50.00,1359540,8,0
Virat Kohli,c Phillips b Kumar,100,63.0,82,12.0,4.0,158.73,1359539,1,1
Faf du Plessis,c Tripathi b Natarajan,71,47.0,86,7.0,2.0,151.06,1359539,2,1
Glenn Maxwell,not out ,5,3.0,11,1.0,0.0,166.66,1359539,3,0
Michael Bracewell,not out ,4,4.0,6,0.0,0.0,100.00,1359539,4,0
Prabhsimran Singh,c Dhull b Patel,22,19.0,40,4.0,0.0,115.78,1359538,1,1
Shikhar Dhawan,c Aman Hakim Khan b Sharma,0,1.0,9,0.0,0.0,0.00,1359538,2,1
Atharva Taide,retired out ,55,42.0,67,5.0,2.0,130.95,1359538,3,1
Liam Livingstone,c Patel b Sharma,94,48.0,69,5.0,9.0,195.83,1359538,4,1
Jitesh Sharma,c Ahmed b Nortje,0,3.0,4,0.0,0.0,0.00,1359538,5,1
M Shahrukh Khan,c Patel b Ahmed,6,3.0,7,0.0,1.0,200.00,1359538,6,1
Sam Curran, b Nortje,11,5.0,13,1.0,1.0,220.00,1359538,7,1
Harpreet Brar,run out (Salt/Nortje),0,1.0,3,0.0,0.0,0.00,1359538,8,1
Rahul Chahar,not out ,0,0.0,9,0.0,0.0,-,1359538,9,0
Ishan Kishan,c Naveen-ul-Haq b Ravi Bishnoi,59,39.0,54,8.0,1.0,151.28,1359537,1,1
Rohit Sharma,c Hooda b Ravi Bishnoi,37,25.0,47,1.0,3.0,148.00,1359537,2,1
Suryakumar Yadav, b Yash Thakur,7,9.0,22,0.0,0.0,77.77,1359537,3,1
Nehal Wadhera,c sub (K Gowtham) b Mohsin Khan,16,20.0,28,2.0,0.0,80.00,1359537,4,1
Tim David,not out ,32,19.0,41,1.0,3.0,168.42,1359537,5,0
Vishnu Vinod,c Pooran b Yash Thakur,2,4.0,9,0.0,0.0,50.00,1359537,6,1
Cameron Green,not out ,4,6.0,17,0.0,0.0,66.66,1359537,7,0
Anmolpreet Singh,c Rashid Khan b Mohammed Shami,5,4.0,5,1.0,0.0,125.00,1359536,1,1
Abhishek Sharma,c Saha b Yash Dayal,5,5.0,10,1.0,0.0,100.00,1359536,2,1
Aiden Markram,c Shanaka b Mohammed Shami,10,10.0,19,1.0,0.0,100.00,1359536,3,1
Rahul Tripathi,c Tewatia b Mohammed Shami,1,2.0,5,0.0,0.0,50.00,1359536,4,1
Heinrich Klaasen,c Miller b Mohammed Shami,64,44.0,73,4.0,3.0,145.45,1359536,5,1
Sanvir Singh,c Sai Sudharsan b Sharma,7,6.0,12,0.0,1.0,116.66,1359536,6,1
Abdul Samad,c sub (Shivam Mavi) b Sharma,4,3.0,5,1.0,0.0,133.33,1359536,7,1
Marco Jansen,c Pandya b Sharma,3,6.0,11,0.0,0.0,50.00,1359536,8,1
Bhuvneshwar Kumar,c Rashid Khan b Sharma,27,26.0,51,3.0,0.0,103.84,1359536,9,1
Mayank Markande,not out ,18,9.0,17,2.0,1.0,200.00,1359536,10,0
Fazalhaq Farooqi,not out ,1,5.0,5,0.0,0.0,20.00,1359536,11,0
Jason Roy,c Pathirana b Chahar,12,15.0,30,1.0,0.0,80.00,1359535,1,1
Rahmanullah Gurbaz,c Deshpande b Chahar,1,4.0,8,0.0,0.0,25.00,1359535,2,1
Venkatesh Iyer,c Jadeja b Chahar,9,4.0,11,2.0,0.0,225.00,1359535,3,1
Nitish Rana,not out ,57,44.0,72,6.0,1.0,129.54,1359535,4,0
Rinku Singh,run out (Ali),54,43.0,54,4.0,3.0,125.58,1359535,5,1
Andre Russell,not out ,2,2.0,9,0.0,0.0,100.00,1359535,6,0
Yashasvi Jaiswal,c Kohli b Mohammed Siraj,0,2.0,4,0.0,0.0,0.00,1359534,1,1
Jos Buttler,c Mohammed Siraj b Parnell,0,2.0,10,0.0,0.0,0.00,1359534,2,1
Sanju Samson,c Anuj Rawat b Parnell,4,5.0,10,1.0,0.0,80.00,1359534,3,1
Joe Root,lbw b Parnell,10,15.0,26,1.0,0.0,66.66,1359534,4,1
Devdutt Padikkal,c Mohammed Siraj b Bracewell,4,4.0,16,1.0,0.0,100.00,1359534,5,1
Shimron Hetmyer,c Bracewell b Maxwell,35,19.0,28,1.0,4.0,184.21,1359534,6,1
Dhruv Jurel,c Lomror b Bracewell,1,7.0,6,0.0,0.0,14.28,1359534,7,1
Ravichandran Ashwin,run out (Mohammed Siraj/Anuj Rawat),0,0.0,7,0.0,0.0,-,1359534,8,1
Adam Zampa, b Sharma,2,6.0,10,0.0,0.0,33.33,1359534,9,1
Sandeep Sharma,not out ,0,1.0,4,0.0,0.0,0.00,1359534,10,0
KM Asif,c Kohli b Sharma,0,2.0,3,0.0,0.0,0.00,1359534,11,1
David Warner,lbw b Harpreet Brar,54,27.0,49,10.0,1.0,200.00,1359533,1,1
Phil Salt, b Harpreet Brar,21,17.0,31,3.0,0.0,123.52,1359533,2,1
Mitchell Marsh,lbw b Chahar,3,4.0,7,0.0,0.0,75.00,1359533,3,1
Rilee Rossouw,c Sikandar Raza b Harpreet Brar,5,5.0,6,1.0,0.0,100.00,1359533,4,1
Axar Patel,lbw b Chahar,1,2.0,12,0.0,0.0,50.00,1359533,5,1
Manish Pandey, b Harpreet Brar,0,3.0,7,0.0,0.0,0.00,1359533,6,1
Aman Hakim Khan,c Harpreet Brar b Ellis,16,18.0,24,1.0,1.0,88.88,1359533,7,1
Praveen Dubey, b Ellis,16,20.0,29,2.0,0.0,80.00,1359533,8,1
Kuldeep Yadav,not out ,10,17.0,21,0.0,0.0,58.82,1359533,9,0
Mukesh Kumar,not out ,6,7.0,12,0.0,0.0,85.71,1359533,10,0
Kyle Mayers,c Markram b Phillips,2,14.0,16,0.0,0.0,14.28,1359532,1,1
Quinton de Kock,c Abhishek Sharma b Markande,29,19.0,39,3.0,1.0,152.63,1359532,2,1
Prerak Mankad,not out ,64,45.0,78,7.0,2.0,142.22,1359532,3,0
Marcus Stoinis,c Abdul Samad b Abhishek Sharma,40,25.0,34,2.0,3.0,160.00,1359532,4,1
Nicholas Pooran,not out ,44,13.0,22,3.0,4.0,338.46,1359532,5,0
Wriddhiman Saha,lbw b Madhwal,2,5.0,10,0.0,0.0,40.00,1359531,1,1
Shubman Gill, b Madhwal,6,9.0,20,0.0,0.0,66.66,1359531,2,1
Hardik Pandya,c Ishan Kishan b Behrendorff,4,3.0,5,1.0,0.0,133.33,1359531,3,1
Vijay Shankar, b Chawla,29,14.0,22,6.0,0.0,207.14,1359531,4,1
David Miller,lbw b Madhwal,41,26.0,47,4.0,2.0,157.69,1359531,5,1
Abhinav Manohar, b Kartikeya,2,3.0,5,0.0,0.0,66.66,1359531,6,1
Rahul Tewatia,c Green b Chawla,14,13.0,29,1.0,0.0,107.69,1359531,7,1
Rashid Khan,not out ,79,32.0,44,3.0,10.0,246.87,1359531,8,0
Noor Ahmad, b Kartikeya,1,3.0,5,0.0,0.0,33.33,1359531,9,1
Alzarri Joseph,not out ,7,12.0,37,1.0,0.0,58.33,1359531,10,0
Yashasvi Jaiswal,not out ,98,47.0,62,12.0,5.0,208.51,1359530,1,0
Jos Buttler,run out (Russell),0,3.0,10,0.0,0.0,0.00,1359530,2,1
Sanju Samson,not out ,48,29.0,53,2.0,5.0,165.51,1359530,3,0
David Warner,c Rahane b Chahar,0,2.0,2,0.0,0.0,0.00,1359529,1,1
Phil Salt,c Rayudu b Chahar,17,11.0,19,1.0,2.0,154.54,1359529,2,1
Mitchell Marsh,run out (Rahane),5,4.0,21,1.0,0.0,125.00,1359529,3,1
Manish Pandey,lbw b Pathirana,27,29.0,42,1.0,2.0,93.10,1359529,4,1
Rilee Rossouw,c Pathirana b Jadeja,35,37.0,44,2.0,1.0,94.59,1359529,5,1
Ripal Patel,run out (Ali),10,16.0,31,0.0,0.0,62.50,1359529,6,1
Axar Patel,c Rahane b Pathirana,21,12.0,20,2.0,1.0,175.00,1359529,7,1
Aman Hakim Khan,not out ,2,3.0,13,0.0,0.0,66.66,1359529,8,0
Lalit Yadav, b Pathirana,12,5.0,7,3.0,0.0,240.00,1359529,9,1
Kuldeep Yadav,not out ,0,1.0,1,0.0,0.0,0.00,1359529,10,0
Ishan Kishan,c Anuj Rawat b Hasaranga,42,21.0,24,4.0,4.0,200.00,1359528,1,1
Rohit Sharma,lbw b Hasaranga,7,8.0,27,1.0,0.0,87.50,1359528,2,1
Suryakumar Yadav,c Jadhav b Vyshak,83,35.0,60,7.0,6.0,237.14,1359528,3,1
Nehal Wadhera,not out ,52,34.0,61,4.0,3.0,152.94,1359528,4,0
Tim David,c Maxwell b Vyshak,0,1.0,2,0.0,0.0,0.00,1359528,5,1
Cameron Green,not out ,2,2.0,4,0.0,0.0,100.00,1359528,6,0
Jason Roy,c Shahrukh Khan b Harpreet Brar,38,24.0,40,8.0,0.0,158.33,1359527,1,1
Rahmanullah Gurbaz,lbw b Ellis,15,12.0,25,1.0,1.0,125.00,1359527,2,1
Nitish Rana,c Livingstone b Chahar,51,38.0,50,6.0,1.0,134.21,1359527,3,1
Venkatesh Iyer,c Livingstone b Chahar,11,13.0,28,0.0,0.0,84.61,1359527,4,1
Andre Russell,run out (Sharma/Arshdeep Singh),42,23.0,34,3.0,3.0,182.60,1359527,5,1
Rinku Singh,not out ,21,10.0,25,2.0,1.0,210.00,1359527,6,0
Shardul Thakur,not out ,0,0.0,1,0.0,0.0,-,1359527,7,0
Anmolpreet Singh,c Hetmyer b Chahal,33,25.0,26,4.0,1.0,132.00,1359526,1,1
Abhishek Sharma,c Chahal b R Ashwin,55,34.0,57,5.0,2.0,161.76,1359526,2,1
Rahul Tripathi,c Jaiswal b Chahal,47,29.0,57,2.0,3.0,162.06,1359526,3,1
Heinrich Klaasen,c Buttler b Chahal,26,12.0,15,2.0,2.0,216.66,1359526,4,1
Aiden Markram,lbw b Chahal,6,5.0,13,1.0,0.0,120.00,1359526,5,1
Glenn Phillips,c Hetmyer b Yadav,25,7.0,12,1.0,3.0,357.14,1359526,6,1
Abdul Samad,not out ,17,7.0,17,0.0,2.0,242.85,1359526,7,0
Marco Jansen,not out ,3,2.0,10,0.0,0.0,150.00,1359526,8,0
Kyle Mayers,c Rashid Khan b Sharma,48,32.0,46,7.0,2.0,150.00,1359525,1,1
Quinton de Kock, b Rashid Khan,70,41.0,88,7.0,3.0,170.73,1359525,2,1
Deepak Hooda,c Tewatia b Mohammed Shami,11,11.0,24,0.0,0.0,100.00,1359525,3,1
Marcus Stoinis,c Mohammed Shami b Sharma,4,9.0,15,0.0,0.0,44.44,1359525,4,1
Nicholas Pooran,c Mohammed Shami b Noor Ahmad,3,6.0,15,0.0,0.0,50.00,1359525,5,1
Ayush Badoni,c Noor Ahmad b Sharma,21,11.0,15,1.0,2.0,190.90,1359525,6,1
Swapnil Singh,not out ,2,4.0,14,0.0,0.0,50.00,1359525,7,0
Krunal Pandya,c Miller b Sharma,0,1.0,2,0.0,0.0,0.00,1359525,8,1
Ravi Bishnoi,not out ,4,5.0,5,1.0,0.0,80.00,1359525,9,0
David Warner,c du Plessis b Hazlewood,22,14.0,26,3.0,1.0,157.14,1359524,1,1
Phil Salt, b Sharma,87,45.0,76,8.0,6.0,193.33,1359524,2,1
Mitchell Marsh,c Lomror b Patel,26,17.0,22,3.0,1.0,152.94,1359524,3,1
Rilee Rossouw,not out ,35,22.0,34,1.0,3.0,159.09,1359524,4,0
Axar Patel,not out ,8,3.0,5,0.0,1.0,266.66,1359524,5,0
Ruturaj Gaikwad,c Ishan Kishan b Chawla,30,16.0,23,4.0,2.0,187.50,1359523,1,1
Devon Conway,lbw b Madhwal,44,42.0,83,4.0,0.0,104.76,1359523,2,1
Ajinkya Rahane,lbw b Chawla,21,17.0,23,1.0,1.0,123.52,1359523,3,1
Ambati Rayudu,c Goyal b Stubbs,12,11.0,16,0.0,1.0,109.09,1359523,4,1
Shivam Dube,not out ,26,18.0,27,0.0,3.0,144.44,1359523,5,0
MS Dhoni,not out ,2,3.0,7,0.0,0.0,66.66,1359523,6,0
Wriddhiman Saha,not out ,41,34.0,55,5.0,0.0,120.58,1359522,1,0
Shubman Gill,st Samson b Chahal,36,35.0,39,6.0,0.0,102.85,1359522,2,1
Hardik Pandya,not out ,39,15.0,17,3.0,3.0,260.00,1359522,3,0
Abhishek Sharma,c Russell b Thakur,9,10.0,25,1.0,0.0,90.00,1359521,1,1
Mayank Agarwal,c Rahmanullah Gurbaz b Harshit Rana,18,11.0,17,2.0,1.0,163.63,1359521,2,1
Rahul Tripathi,c Arora b Russell,20,9.0,17,3.0,1.0,222.22,1359521,3,1
Aiden Markram,c Singh b Arora,41,40.0,64,4.0,0.0,102.50,1359521,4,1
Harry Brook,lbw b AS Roy,0,4.0,6,0.0,0.0,0.00,1359521,5,1
Heinrich Klaasen,c Russell b Thakur,36,20.0,34,1.0,3.0,180.00,1359521,6,1
Abdul Samad,c AS Roy b Varun,21,18.0,34,3.0,0.0,116.66,1359521,7,1
Marco Jansen,c Rahmanullah Gurbaz b Arora,1,4.0,10,0.0,0.0,25.00,1359521,8,1
Bhuvneshwar Kumar,not out ,5,5.0,16,1.0,0.0,100.00,1359521,9,0
Mayank Markande,not out ,1,2.0,6,0.0,0.0,50.00,1359521,10,0
Rohit Sharma,c Short b R Dhawan,0,3.0,3,0.0,0.0,0.00,1359520,1,1
Ishan Kishan,c R Dhawan b Arshdeep Singh,75,41.0,80,7.0,4.0,182.92,1359520,2,1
Cameron Green,c Chahar b Ellis,23,18.0,29,4.0,0.0,127.77,1359520,3,1
Suryakumar Yadav,c Arshdeep Singh b Ellis,66,31.0,44,8.0,2.0,212.90,1359520,4,1
Tim David,not out ,19,10.0,21,3.0,0.0,190.00,1359520,5,0
Tilak Varma,not out ,26,10.0,15,1.0,3.0,260.00,1359520,6,0
Wriddhiman Saha,c Salt b Ahmed,0,6.0,6,0.0,0.0,0.00,1359518,1,1
Shubman Gill,c Pandey b Nortje,6,7.0,18,1.0,0.0,85.71,1359518,2,1
Hardik Pandya,not out ,59,53.0,94,7.0,0.0,111.32,1359518,3,0
Vijay Shankar, b Sharma,6,9.0,11,1.0,0.0,66.66,1359518,4,1
David Miller, b Kuldeep Yadav,0,3.0,9,0.0,0.0,0.00,1359518,5,1
Abhinav Manohar,c Aman Hakim Khan b Ahmed,26,33.0,44,0.0,1.0,78.78,1359518,6,1
Rahul Tewatia,c Rossouw b Sharma,20,7.0,19,0.0,3.0,285.71,1359518,7,1
Rashid Khan,not out ,3,2.0,3,0.0,0.0,150.00,1359518,8,0
Kyle Mayers,c Anuj Rawat b Mohammed Siraj,0,2.0,3,0.0,0.0,0.00,1359517,1,1
Ayush Badoni,c Kohli b Hazlewood,4,11.0,23,0.0,0.0,36.36,1359517,2,1
Krunal Pandya,c Kohli b Maxwell,14,11.0,17,3.0,0.0,127.27,1359517,3,1
Deepak Hooda,st Karthik b Hasaranga,1,2.0,13,0.0,0.0,50.00,1359517,4,1
Marcus Stoinis,c Prabhudessai b Sharma,13,19.0,31,0.0,1.0,68.42,1359517,5,1
Nicholas Pooran,c Lomror b Sharma,9,7.0,9,0.0,1.0,128.57,1359517,6,1
Krishnappa Gowtham,run out (sub [R Sonu Yadav]/Karthik),23,13.0,20,1.0,2.0,176.92,1359517,7,1
Ravi Bishnoi,run out (Patel/Karthik),5,10.0,19,0.0,0.0,50.00,1359517,8,1
Amit Mishra,c Karthik b Patel,19,30.0,42,2.0,0.0,63.33,1359517,9,1
Naveen-ul-Haq,c Karthik b Hazlewood,13,13.0,20,2.0,0.0,100.00,1359517,10,1
KL Rahul,not out ,0,3.0,7,0.0,0.0,0.00,1359517,11,0
Rohit Sharma, b Sandeep Sharma,3,5.0,12,0.0,0.0,60.00,1359516,1,1
Ishan Kishan,c Boult b Ashwin,28,23.0,44,4.0,0.0,121.73,1359516,2,1
Cameron Green,c Boult b Ashwin,44,26.0,47,4.0,2.0,169.23,1359516,3,1
Suryakumar Yadav,c Sandeep Sharma b Boult,55,29.0,49,8.0,2.0,189.65,1359516,4,1
Tilak Varma,not out ,29,21.0,63,3.0,1.0,138.09,1359516,5,0
Tim David,not out ,45,14.0,27,2.0,5.0,321.42,1359516,6,0
Prabhsimran Singh,st Dhoni b Jadeja,42,24.0,41,4.0,2.0,175.00,1359515,1,1
Shikhar Dhawan,c Pathirana b Deshpande,28,15.0,24,4.0,1.0,186.66,1359515,2,1
Atharva Taide,c & b Jadeja,13,17.0,26,0.0,0.0,76.47,1359515,3,1
Liam Livingstone,c Gaikwad b Deshpande,40,24.0,38,1.0,4.0,166.66,1359515,4,1
Sam Curran, b Pathirana,29,20.0,36,1.0,1.0,145.00,1359515,5,1
Jitesh Sharma,c sub (SK Rasheed) b Deshpande,21,10.0,21,2.0,1.0,210.00,1359515,6,1
M Shahrukh Khan,not out ,2,3.0,21,0.0,0.0,66.66,1359515,7,0
Sikandar Raza,not out ,13,7.0,9,1.0,0.0,185.71,1359515,8,0
David Warner, b Kumar,0,2.0,2,0.0,0.0,0.00,1359514,1,1
Phil Salt,c & b Markande,59,35.0,53,9.0,0.0,168.57,1359514,2,1
Mitchell Marsh,c Markram b Hosein,63,39.0,63,1.0,6.0,161.53,1359514,3,1
Manish Pandey,st Klaasen b Abhishek Sharma,1,3.0,5,0.0,0.0,33.33,1359514,4,1
Priyam Garg, b Markande,12,9.0,15,1.0,0.0,133.33,1359514,5,1
Sarfaraz Khan, b Natarajan,9,10.0,19,1.0,0.0,90.00,1359514,6,1
Axar Patel,not out ,29,14.0,24,1.0,2.0,207.14,1359514,7,0
Ripal Patel,not out ,11,8.0,16,1.0,0.0,137.50,1359514,8,0
Wriddhiman Saha,c Harshit Rana b Russell,10,10.0,21,1.0,0.0,100.00,1359513,1,1
Shubman Gill,c Russell b Narine,49,35.0,53,8.0,0.0,140.00,1359513,2,1
Hardik Pandya,lbw b Harshit Rana,26,20.0,28,2.0,1.0,130.00,1359513,3,1
Vijay Shankar,not out ,51,24.0,37,2.0,5.0,212.50,1359513,4,0
David Miller,not out ,32,18.0,32,2.0,2.0,177.77,1359513,5,0
Prabhsimran Singh,c sub (DR Sams) b Naveen-ul-Haq,9,13.0,24,2.0,0.0,69.23,1359512,1,1
Shikhar Dhawan,c Pandya b Stoinis,1,2.0,5,0.0,0.0,50.00,1359512,2,1
Atharva Taide,c & b Ravi Bishnoi,66,36.0,67,8.0,2.0,183.33,1359512,3,1
Sikandar Raza,c Pandya b Yash Thakur,36,22.0,41,4.0,1.0,163.63,1359512,4,1
Liam Livingstone,lbw b Ravi Bishnoi,23,14.0,19,2.0,1.0,164.28,1359512,5,1
Sam Curran,c Badoni b Naveen-ul-Haq,21,11.0,24,2.0,1.0,190.90,1359512,6,1
Jitesh Sharma,c Rahul b Yash Thakur,24,10.0,17,0.0,3.0,240.00,1359512,7,1
M Shahrukh Khan,c Ravi Bishnoi b Yash Thakur,6,9.0,18,0.0,0.0,66.66,1359512,8,1
Rahul Chahar,c Hooda b Yash Thakur,0,1.0,3,0.0,0.0,0.00,1359512,9,1
Kagiso Rabada, b Naveen-ul-Haq,0,1.0,5,0.0,0.0,0.00,1359512,10,1
Arshdeep Singh,not out ,2,2.0,6,0.0,0.0,100.00,1359512,11,0
Ruturaj Gaikwad,c Padikkal b Zampa,47,29.0,45,5.0,1.0,162.06,1359511,1,1
Devon Conway,c Sandeep Sharma b Zampa,8,16.0,28,1.0,0.0,50.00,1359511,2,1
Ajinkya Rahane,c Buttler b Ashwin,15,13.0,23,0.0,0.0,115.38,1359511,3,1
Shivam Dube,c Buttler b Yadav,52,33.0,52,2.0,4.0,157.57,1359511,4,1
Ambati Rayudu,c Holder b Ashwin,0,2.0,4,0.0,0.0,0.00,1359511,5,1
Moeen Ali,c Samson b Zampa,23,12.0,21,2.0,2.0,191.66,1359511,6,1
Ravindra Jadeja,not out ,23,15.0,27,3.0,0.0,153.33,1359511,7,0
Virat Kohli,c Iyer b Russell,54,37.0,59,6.0,0.0,145.94,1359510,1,1
Faf du Plessis,c Singh b Suyash Sharma,17,7.0,12,1.0,2.0,242.85,1359510,2,1
Shahbaz Ahmed,lbw b Suyash Sharma,2,5.0,11,0.0,0.0,40.00,1359510,3,1
Glenn Maxwell,c Wiese b Varun,5,4.0,6,1.0,0.0,125.00,1359510,4,1
Mahipal Lomror,c Russell b Varun,34,18.0,26,1.0,3.0,188.88,1359510,5,1
Dinesh Karthik,c Singh b Varun,22,18.0,33,1.0,1.0,122.22,1359510,6,1
